Argentina,"Natural capital per capita, protected areas",400.3,393.3,618.9,694.5,581.5
Argentina,"Natural capital per capita, subsoil assets",649.9,1179.7,3030.2,4870.8,3931.3
Argentina,"Natural capital per capita, subsoil assets, minerals: bauxite",,,,,
Argentina,"Natural capital per capita, subsoil assets, minerals: copper",,85.1,313.5,708.8,421.8
Argentina,"Natural capital per capita, subsoil assets, minerals: gold",0.0,0.0,23.6,308.2,487.6
Argentina,"Natural capital per capita, subsoil assets, minerals: iron ore",2.0,,,,
Argentina,"Natural capital per capita, subsoil assets, minerals: lead",0.0,0.0,0.8,8.8,5.8
Argentina,"Natural capital per capita, subsoil assets, minerals: nickel",,,,,
Argentina,"Natural capital per capita, subsoil assets, minerals: phosphate",,,,,
Argentina,"Natural capital per capita, subsoil assets, minerals: silver",0.0,0.0,0.0,1.8,33.0
Argentina,"Natural capital per capita, subsoil assets, minerals: tin",,,,,
Argentina,"Natural capital per capita, subsoil assets, minerals: zinc",5.1,5.6,4.3,35.5,16.0
Argentina,"Natural capital per capita, subsoil assets: coal",0.3,0.0,0.4,3.3,1.7
Argentina,"Natural capital per capita, subsoil assets: gas",121.7,171.0,418.3,606.7,390.8
Argentina,"Natural capital per capita, subsoil assets: minerals",7.1,90.7,342.1,1063.1,964.3
Argentina,"Natural capital per capita, subsoil assets: oil",520.8,918.1,2269.3,3197.6,2574.5
Argentina,"Natural capital, agricultural land",201511089361.6,215338230555.9,389531740867.9,411435270042.9,393353612076.0
Argentina,"Natural capital, agricultural land: cropland",99738489906.0,121706914769.8,238251315152.2,236278658700.0,247641111738.6
Argentina,"Natural capital, agricultural land: pastureland",101772599455.7,93631315786.1,151280425715.7,175156611343.0,145712500337.4
Argentina,"Natural capital, forests",118551130610.0,114669831890.8,114442450701.4,110808615007.2,108313630983.9
Argentina,"Natural capital, forests: nontimber",114966621353.5,109907627753.3,104132820193.4,98647787923.2,94552297161.5
Argentina,"Natural capital, forests: timber",3584509256.5,4762204137.5,10309630508.0,12160827084.0,13761333822.4
Argentina,"Natural capital, protected areas",14006838243.0,14573370884.0,24226817900.3,28628421811.2,24992033265.1
Argentina,"Natural capital, subsoil assets",22742434792.1,43716248049.0,118619011129.3,200789730953.1,168966570496.4
Argentina,"Natural capital, subsoil assets, minerals: bauxite",,,,,
Argentina,"Natural capital, subsoil assets, minerals: copper",,3153133294.9,12270466675.1,29218004085.6,18130200288.2
Argentina,"Natural capital, subsoil assets, minerals: gold",874518.6,0.0,923073904.3,12705710129.8,20957664525.3
Argentina,"Natural capital, subsoil assets, minerals: iron ore",68521290.5,,,,
Argentina,"Natural capital, subsoil assets, minerals: lead",0.0,0.0,32078038.3,362190367.2,251054670.1
Argentina,"Natural capital, subsoil assets, minerals: nickel",,,,,
Argentina,"Natural capital, subsoil assets, minerals: phosphate",,,,,
Argentina,"Natural capital, subsoil assets, minerals: silver",0.0,0.0,0.0,74436994.5,1419916637.7
Argentina,"Natural capital, subsoil assets, minerals: tin",,,,,
Argentina,"Natural capital, subsoil assets, minerals: zinc",178073520.1,207083081.1,167088230.7,1464973897.8,686825459.0
Argentina,"Natural capital, subsoil assets: coal",11580901.1,199915.7,16907323.4,137791168.7,71114375.1
Argentina,"Natural capital, subsoil assets: gas",4258365363.9,6335159329.6,16375300173.9,25011320942.1,16798188214.9
Argentina,"Natural capital, subsoil assets: minerals",247469329.2,3360216376.0,13392706848.4,43825315474.9,41445661580.3
Argentina,"Natural capital, subsoil assets: oil",18225019197.9,34020672427.7,88834096783.6,131815303367.3,110651606326.1
Argentina,Net foreign assets,-58312126830.1,-107971811814.6,-23225251733.4,19453222840.7,44380478640.0
Argentina,Net foreign assets per capita,-1666.3,-2913.6,-593.3,471.9,1032.6
Argentina,Produced capital,1150131989661.6,1258359702629.2,1441672768260.0,1554149107810.4,1627625154861.8
Argentina,Produced capital per capita,32865.8,33957.0,36828.6,37701.1,37869.3
Argentina,Total wealth,3547228021209.1,4334734086328.0,4265058444000.2,5207635855910.9,5437663335118.3
Argentina,Total wealth per capita,101364.4,116973.3,108954.0,126328.8,126516.1
Armenia,Human capital,24734021344.5,31756579362.1,56487891131.6,68219957588.5,82156406517.2
Armenia,Human capital per capita,7673.8,10323.7,18736.1,23020.1,27329.4
Armenia,Natural capital,17223702908.3,20192303338.4,20218618562.0,27958023036.1,38183998852.6
Armenia,Natural capital per capita,5343.7,6564.3,6706.2,9434.1,12701.9
Armenia,"Natural capital per capita, agricultural land",4319.1,4618.0,4832.2,6334.6,7653.9
Armenia,"Natural capital per capita, agricultural land: cropland",2574.0,1811.1,2055.5,2797.4,3257.1
Armenia,"Natural capital per capita, agricultural land: pastureland",1745.1,2806.9,2776.6,3537.2,4396.8
Armenia,"Natural capital per capita, forests",86.4,83.9,91.2,166.9,263.6
Armenia,"Natural capital per capita, forests: nontimber",75.7,79.0,80.4,81.6,80.6
Armenia,"Natural capital per capita, forests: timber",10.7,4.9,10.8,85.4,183.0
Armenia,"Natural capital per capita, protected areas",878.0,1780.1,1494.5,1880.4,2634.7
Armenia,"Natural capital per capita, subsoil assets",60.2,82.3,288.4,1052.2,2149.8
Armenia,"Natural capital per capita, subsoil assets, minerals: bauxite",,,,,
Armenia,"Natural capital per capita, subsoil assets, minerals: copper",50.6,79.0,203.0,880.5,1683.9
Armenia,"Natural capital per capita, subsoil assets, minerals: gold",9.7,2.6,84.1,132.0,423.2
Armenia,"Natural capital per capita, subsoil assets, minerals: iron ore",,,,,
Armenia,"Natural capital per capita, subsoil assets, minerals: lead",,,,,
Armenia,"Natural capital per capita, subsoil assets, minerals: nickel",,,,,
Armenia,"Natural capital per capita, subsoil assets, minerals: phosphate",,,,,
Armenia,"Natural capital per capita, subsoil assets, minerals: silver",,,0.0,0.0,8.4
Armenia,"Natural capital per capita, subsoil assets, minerals: tin",,,,,
Armenia,"Natural capital per capita, subsoil assets, minerals: zinc",,0.8,1.3,39.7,34.2
Armenia,"Natural capital per capita, subsoil assets: coal",0.0,0.0,0.0,0.0,0.0
Armenia,"Natural capital per capita, subsoil assets: gas",0.0,0.0,0.0,0.0,0.0
Armenia,"Natural capital per capita, subsoil assets: minerals",60.2,82.3,288.4,1052.2,2149.8
Armenia,"Natural capital per capita, subsoil assets: oil",0.0,0.0,0.0,0.0,0.0
Armenia,"Natural capital, agricultural land",13921069487.5,14205339899.0,14568532768.6,18772671363.9,23008726263.5
Armenia,"Natural capital, agricultural land: cropland",8296442631.4,5571172328.3,6197269284.3,8290060022.2,9791351960.1
Armenia,"Natural capital, agricultural land: pastureland",5624626856.1,8634167570.7,8371263484.3,10482611341.7,13217374303.4
Armenia,"Natural capital, forests",278384384.5,258203068.2,274859214.5,494747668.1,792510335.5
Armenia,"Natural capital, forests: nontimber",243866710.6,243136570.8,242406430.9,241676291.1,242260402.9
Armenia,"Natural capital, forests: timber",34517673.9,15066497.4,32452783.6,253071377.1,550249932.6
Armenia,"Natural capital, protected areas",2830086124.1,5475633968.7,4505827406.1,5572508542.9,7920224082.1
Armenia,"Natural capital, subsoil assets",194162912.1,253126402.5,869399172.8,3118095461.1,6462538171.6
Armenia,"Natural capital, subsoil assets, minerals: bauxite",,,,,
Armenia,"Natural capital, subsoil assets, minerals: copper",162945822.6,242905185.6,611921178.1,2609241938.0,5061968892.8
Armenia,"Natural capital, subsoil assets, minerals: gold",31217089.6,7870417.0,253455360.8,391188151.5,1272334312.8
Armenia,"Natural capital, subsoil assets, minerals: iron ore",,,,,
Armenia,"Natural capital, subsoil assets, minerals: lead",,,,,
Armenia,"Natural capital, subsoil assets, minerals: nickel",,,,,
Armenia,"Natural capital, subsoil assets, minerals: phosphate",,,,,
Armenia,"Natural capital, subsoil assets, minerals: silver",,,0.0,0.0,25322363.7
Armenia,"Natural capital, subsoil assets, minerals: tin",,,,,
Armenia,"Natural capital, subsoil assets, minerals: zinc",,2350799.9,4022633.8,117665371.7,102912602.3
Armenia,"Natural capital, subsoil assets: coal",0.0,0.0,0.0,0.0,0.0
Armenia,"Natural capital, subsoil assets: gas",0.0,0.0,0.0,0.0,0.0
Armenia,"Natural capital, subsoil assets: minerals",194162912.1,253126402.5,869399172.8,3118095461.1,6462538171.6
Armenia,"Natural capital, subsoil assets: oil",0.0,0.0,0.0,0.0,0.0
Armenia,Net foreign assets,23501033.6,-3125501811.9,-3197133343.9,-7202962634.8,-7780900693.0
Armenia,Net foreign assets per capita,7.3,-1016.1,-1060.4,-2430.6,-2588.3
